MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND,CARRIER_HISTORICAL,DEP_AIRPORT_HIST,DAY_HISTORICAL,DEP_BLOCK_HIST
6,2,1,1800-1859,5,5,14,76,"Midwest Airline, Inc.",5482,26990,578,573075,1529740,1.25E-06,0.000123823,2,Raleigh-Durham International,35.875,-78.782,Houston Intercontinental,0,0,0,90,5.14,0.20893686,0.274169705,0.232388147,0.3656541
9,4,1,0900-0959,4,2,18,143,Southwest Airlines Co.,9403,107436,2333,1823051,13382999,6.18E-05,9.89E-05,9,Orlando International,28.432,-81.325,Philadelphia International,0,0,0,88,11.41,0.124829468,0.139813582,0.167321456,0.102553906
6,7,0,0700-0759,5,2,25,143,Southwest Airlines Co.,13568,112879,5826,1903352,13382999,6.18E-05,9.89E-05,12,McCarran International,36.08,-115.152,Salt Lake City International,0,0,0,91,12.3,0.259774616,0.165122776,0.270709157,0.110787619
11,3,0,2000-2059,5,3,68,199,Delta Air Lines Inc.,13199,79989,4894,1486066,12460183,0.000144166,0.00014866,20,Detroit Metro Wayne County,42.217,-83.344,Orange County,0,0,0,43,5.82,0.10088232,0.13476734,0.147497552,0.187377975
3,7,0,1900-1959,10,6,26,143,Southwest Airlines Co.,8365,114119,5527,1093478,13382999,6.18E-05,9.89E-05,14,Friendship International,39.176,-76.671,Southwest Florida International,0.02,0,0,64,15.43,0.204389222,0.151002506,0.191473364,0.243701776
2,4,0,1300-1359,3,3,10,228,Spirit Air Lines,9514,13447,259,1708599,2688839,9.17E-06,0.000124651,2,Newark Liberty International,40.696,-74.172,Fort Lauderdale-Hollywood International,0,0,0,46,11.18,0.193841204,0.226205877,0.244981328,0.246486919
10,6,0,1500-1559,4,2,20,162,JetBlue Airways,11827,24795,887,955406,3190369,0.000160039,0.000126866,14,Ronald Reagan Washington National,38.852,-77.037,Palm Beach International,0,0,0,71,4.92,0.198369062,0.172706245,0.112162322,0.196905353
2,2,1,0700-0759,3,2,28,100,JetBlue Airways,9408,22053,3065,1680928,3190369,0.000160039,0.000126866,8,John F. Kennedy International,40.639,-73.777,Logan International,0,0,0,37,17.67,0.280857625,0.237923376,0.205745015,0.105822686
3,7,0,1300-1359,4,2,20,160,Delta Air Lines Inc.,11006,84142,2350,1960746,12460183,0.000144166,0.00014866,18,Seattle International,47.447,-122.306,Austin - Bergstrom International,0,0,0,64,8.95,0.124075271,0.159668222,0.191473364,0.192602163
1,7,1,1100-1159,3,1,42,132,Delta Air Lines Inc.,30842,73508,18809,4365661,12460183,0.000144166,0.00014866,17,Atlanta Municipal,33.641,-84.427,NONE,0,0,0,53,20.36,0.130691015,0.18788289,0.178567369,0.166629229
6,6,1,1600-1659,2,4,20,50,SkyWest Airlines Inc.,21878,71188,4516,2743323,3472966,3.42E-05,9.90E-05,18,Stapleton International,39.774,-104.88,Tulsa International,0,0,0,73,9.84,0.208210409,0.226882745,0.230688359,0.32778965
1,6,0,0600-0659,4,1,26,100,JetBlue Airways,11861,23463,1625,1823051,3190369,0.000160039,0.000126866,8,Orlando International,28.432,-81.325,NONE,0,0,0,80,7.61,0.267231524,0.18788289,0.144176348,0.063155495
8,1,0,1000-1059,2,2,25,70,Comair Inc.,11484,24496,2439,955406,1245396,0,9.00E-05,9,Ronald Reagan Washington National,38.852,-77.037,Savannah/Hilton Head International,0,0,0,75,5.82,0.232998482,0.204188482,0.181217245,0.153846154
1,2,0,1400-1459,5,3,7,150,American Airlines Inc.,1876,75506,160,165894,11744595,9.82E-05,0.000177287,18,Norfolk International,36.896,-76.201,Dallas Fort Worth Regional,0.11,0,0,59,9.62,0.160843514,0.178511472,0.159489434,0.210715285
8,5,0,1100-1159,2,2,42,110,Delta Air Lines Inc.,10253,91062,4404,1065782,12460183,0.000144166,0.00014866,18,Salt Lake City International,40.784,-111.967,Kansas City International,0.14,0,0,90,5.59,0.168586267,0.168358209,0.211041372,0.165124409
12,7,0,0700-0759,5,1,15,191,Delta Air Lines Inc.,13603,81498,4932,1486066,12460183,0.000144166,0.00014866,3,Detroit Metro Wayne County,42.217,-83.344,NONE,0,0,0,34,12.08,0.157390024,0.18788289,0.226980168,0.108193861
4,6,0,1200-1259,2,3,18,143,Southwest Airlines Co.,7450,110752,3241,1023434,13382999,6.18E-05,9.89E-05,14,San Diego International Lindbergh Fl,32.733,-117.187,Sacramento International,0,0,0,74,4.92,0.215725833,0.129838142,0.177124023,0.18193401
6,5,0,1500-1559,3,4,31,132,Delta Air Lines Inc.,9694,87183,4127,1065782,12460183,0.000144166,0.00014866,18,Salt Lake City International,40.784,-111.967,Glacier Park International,0,0,0,95,14.32,0.200730053,0.18788289,0.222677771,0.292229949
10,2,0,0800-0859,4,2,40,76,"Midwest Airline, Inc.",10218,28628,1756,1297685,1529740,1.25E-06,0.000123823,12,Philadelphia International,39.868,-75.249,Standiford Field,0.02,0,0,66,12.75,0.156035538,0.156028369,0.135090506,0.099702754
2,7,0,1900-1959,2,4,18,173,United Air Lines Inc.,11708,43512,3769,1908862,8501631,0.000253804,0.000228985,7,San Francisco International,37.619,-122.375,San Diego International Lindbergh Fl,0.2,0,0,54,14.32,0.189495755,0.228464419,0.191045263,0.308556179
4,3,0,0900-0959,6,1,29,191,Delta Air Lines Inc.,12902,81803,5440,1581456,12460183,0.000144166,0.00014866,1,Minneapolis-St Paul International,44.886,-93.218,NONE,0,0,0,72,10.29,0.139557586,0.18788289,0.127615679,0.135373513
7,1,0,0800-0859,3,2,108,149,Delta Air Lines Inc.,35086,90457,21769,4365661,12460183,0.000144166,0.00014866,27,Atlanta Municipal,33.641,-84.427,James M Cox/Dayton International,0,0,0,94,6.26,0.190218739,0.171361502,0.219938971,0.113049748
3,5,0,0700-0759,3,1,29,181,Alaska Airlines Inc.,13989,21427,1895,1908862,2884187,3.23E-05,0.000174601,4,San Francisco International,37.619,-122.375,NONE,0.05,0,0,55,3.13,0.155820548,0.18788289,0.201711417,0.087364398
7,6,0,1300-1359,1,5,18,50,SkyWest Airlines Inc.,8408,72721,605,1023434,3472966,3.42E-05,9.90E-05,14,San Diego International Lindbergh Fl,32.733,-117.187,Los Angeles International,0,0,0,74,7.83,0.188373501,0.19499197,0.203312576,0.197821471
7,3,1,2200-2259,7,1,26,191,Delta Air Lines Inc.,14924,90457,6606,1581456,12460183,0.000144166,0.00014866,2,Minneapolis-St Paul International,44.886,-93.218,NONE,0,0,0,88,10.29,0.190218739,0.18788289,0.203027092,0.315019387
11,4,0,0600-0659,3,1,21,175,Southwest Airlines Co.,4338,108130,2356,525035,13382999,6.18E-05,9.89E-05,7,Sacramento International,38.696,-121.59,NONE,0,0,0,64,2.01,0.173056233,0.18788289,0.139886069,0.059996763
3,3,0,0900-0959,2,2,49,50,SkyWest Airlines Inc.,18465,68810,2895,2780593,3472966,3.42E-05,9.90E-05,16,Los Angeles International,33.942,-118.408,Arcata,0,0,0,67,9.84,0.17960719,0.18788289,0.151268815,0.139154636
1,5,0,1300-1359,2,3,9,150,American Airlines Inc.,4677,75506,726,573075,11744595,9.82E-05,0.000177287,9,Raleigh-Durham International,35.875,-78.782,Philadelphia International,0,0,0,43,2.01,0.160843514,0.123709677,0.171722566,0.195226978
2,6,0,0600-0659,10,1,24,159,JetBlue Airways,11500,22053,279,1903352,3190369,0.000160039,0.000126866,2,McCarran International,36.08,-115.152,NONE,0.03,0,0,54,9.62,0.280857625,0.18788289,0.163938839,0.078905552
2,7,1,1200-1259,6,3,1,157,Alaska Airlines Inc.,1135,18154,1021,222594,2884187,3.23E-05,0.000174601,12,Anchorage International,61.169,-149.985,Seattle International,0,0,15,30,2.91,0.23309921,0.238491049,0.191045263,0.228410256
6,6,0,2200-2259,11,4,4,294,Hawaiian Airlines Inc.,4606,7173,2973,719055,905990,0.000120494,0.00019785,3,Honolulu International,21.319,-157.922,Los Angeles International,0,0,0,72,12.08,0.078523922,0.247177203,0.230688359,0.353859229
7,1,0,1200-1259,6,2,15,175,Southwest Airlines Co.,5978,117728,2176,690385,13382999,6.18E-05,9.89E-05,1,Austin - Bergstrom International,30.194,-97.67,Sacramento International,0,0,0,95,7.38,0.215945077,0.121851385,0.219938971,0.174585415
7,6,1,0800-0859,1,2,38,50,SkyWest Airlines Inc.,6107,72721,416,780326,3472966,3.42E-05,9.90E-05,18,Washington Dulles International,38.942,-77.458,Shenandoah Valley Regional,0,0,0,95,4.92,0.188373501,0.18788289,0.203312576,0.113049748
8,2,0,2100-2159,4,4,25,160,American Airlines Inc.,10613,80820,4130,1297685,11744595,9.82E-05,0.000177287,18,Philadelphia International,39.868,-75.249,Logan International,0,0,0,79,5.59,0.228215169,0.235674373,0.218547944,0.321965685
3,7,1,1200-1259,6,2,47,198,United Air Lines Inc.,15597,53007,5398,1690031,8501631,0.000253804,0.000228985,28,Houston Intercontinental,29.983,-95.34,Newark Liberty International,0,0,0,83,5.82,0.184029614,0.23600943,0.191473364,0.179697588
10,4,1,1500-1559,4,4,30,178,Spirit Air Lines,11970,16797,134,1960746,2688839,9.17E-06,0.000124651,5,Seattle International,47.447,-122.306,McCarran International,0,0,0,64,2.91,0.152505447,0.171597633,0.192619318,0.196905353
11,1,0,0900-0959,10,1,34,154,United Air Lines Inc.,13392,49915,4406,1908862,8501631,0.000253804,0.000228985,19,San Francisco International,37.619,-122.375,NONE,0,0,0,65,12.97,0.140077247,0.18788289,0.152293329,0.114646332
7,6,0,2200-2259,2,6,32,66,SkyWest Airlines Inc.,23471,72721,4971,2743323,3472966,3.42E-05,9.90E-05,10,Stapleton International,39.774,-104.88,Atlanta Municipal,0.06,0,0,97,10.51,0.188373501,0.221415829,0.203312576,0.315019387
5,3,0,1500-1559,2,2,41,69,"Midwest Airline, Inc.",13810,27470,670,1486066,1529740,1.25E-06,0.000123823,14,Detroit Metro Wayne County,42.217,-83.344,Port Columbus International,0,0,0,74,8.95,0.167417793,0.153984854,0.180775199,0.2421138
12,2,0,0700-0759,7,1,14,124,United Air Lines Inc.,5567,51152,625,690385,8501631,0.000253804,0.000228985,21,Austin - Bergstrom International,30.194,-97.67,NONE,0.37,0,0,58,14.99,0.193808495,0.18788289,0.199784239,0.108193861
1,6,0,1800-1859,7,4,9,145,Spirit Air Lines,11956,15023,338,1581456,2688839,9.17E-06,0.000124651,9,Minneapolis-St Paul International,44.886,-93.218,Los Angeles International,0,0,0,66,6.26,0.143968478,0.170850202,0.144176348,0.239959983
3,5,1,1100-1159,6,4,5,143,Southwest Airlines Co.,3488,114119,1405,401950,13382999,6.18E-05,9.89E-05,18,San Antonio International,29.533,-98.469,Dallas Love Field,0,0,0,81,10.74,0.204389222,0.212730318,0.201711417,0.164644714
6,3,0,1900-1959,2,5,6,143,Southwest Airlines Co.,2562,112879,942,279230,13382999,6.18E-05,9.89E-05,21,General Mitchell Field,42.95,-87.897,Los Angeles International,0,0,0,85,5.82,0.259774616,0.247177203,0.237174818,0.390600056
8,3,0,0800-0859,5,2,50,128,American Airlines Inc.,14177,80820,4675,1827202,11744595,9.82E-05,0.000177287,19,Phoenix Sky Harbor International,33.436,-112.009,Seattle International,0,0,0,114,4.25,0.228215169,0.219199179,0.221672355,0.112372666
4,2,1,0700-0759,2,2,38,50,SkyWest Airlines Inc.,18788,67082,3655,2743323,3472966,3.42E-05,9.90E-05,19,Stapleton International,39.774,-104.88,William B. Heilig Field,0.07,0,1.2,39,8.28,0.154651265,0.18788289,0.138603046,0.094279909
5,1,0,0600-0659,2,1,11,66,Mesa Airlines Inc.,19807,18618,199,2006675,1191889,0,9.13E-05,16,Douglas Municipal,35.219,-80.936,NONE,0,0,0,78,8.05,0.19623399,0.18788289,0.193667889,0.06922199
4,2,0,0700-0759,9,1,50,187,American Airlines Inc.,18979,74131,7939,2006675,11744595,9.82E-05,0.000177287,4,Douglas Municipal,35.219,-80.936,NONE,0,0,0,73,5.82,0.204604288,0.18788289,0.138603046,0.094279909
3,7,0,1300-1359,4,3,4,175,Southwest Airlines Co.,2368,114119,1594,259669,13382999,6.18E-05,9.89E-05,3,Hollywood-Burbank Midpoint,34.2,-118.358,Metropolitan Oakland International,0,0,0,39,10.51,0.204389222,0.228948258,0.191473364,0.192602163
12,3,0,1000-1059,2,2,37,128,American Airlines Inc.,15328,79228,5225,1827202,11744595,9.82E-05,0.000177287,16,Phoenix Sky Harbor International,33.436,-112.009,Kent County,0,0,0,67,11.63,0.178344776,0.223190933,0.196265165,0.184210526
4,1,1,1300-1359,5,2,30,181,American Airlines Inc.,22914,74131,11638,2907365,11744595,9.82E-05,0.000177287,2,Dallas Fort Worth Regional,32.894,-97.03,San Francisco International,0,0,0,76,13.42,0.204604288,0.167361835,0.237971867,0.197502949
11,2,1,1200-1259,5,3,82,76,American Eagle Airlines Inc.,24926,25517,4903,2907365,1204766,0.000348408,0.000106867,0,Dallas Fort Worth Regional,32.894,-97.03,Adams Field,0,0,0,39,11.41,0.117559055,0.131909548,0.153129972,0.144308855
5,7,0,1900-1959,2,8,22,70,Comair Inc.,19807,24260,8154,2006675,1245396,0,9.00E-05,16,Douglas Municipal,35.219,-80.936,Fayetteville Regional/Grannis Field,0,0,0,95,4.03,0.171848079,0.18788289,0.211331047,0.307368618
5,4,0,0800-0859,3,2,17,175,Southwest Airlines Co.,4875,113709,4412,589072,13382999,6.18E-05,9.89E-05,2,William P Hobby,29.645,-95.279,Dallas Love Field,0,0,0,86,14.54,0.248619996,0.302592955,0.25085146,0.111033417
12,1,1,1800-1859,2,6,4,143,Southwest Airlines Co.,2034,113248,1083,216694,13382999,6.18E-05,9.89E-05,15,Ontario International,34.056,-117.601,Phoenix Sky Harbor International,0.85,0,0,59,10.07,0.264038108,0.225409065,0.25164658,0.280056836
10,3,0,0900-0959,2,3,15,128,American Airlines Inc.,7503,80161,593,732595,11744595,9.82E-05,0.000177287,20,Nashville International,36.127,-86.682,Philadelphia International,0,0,0,75,5.59,0.172082137,0.141804788,0.15751081,0.121716688
12,5,0,0800-0859,6,1,58,160,American Airlines Inc.,25322,79228,12551,2907365,11744595,9.82E-05,0.000177287,7,Dallas Fort Worth Regional,32.894,-97.03,NONE,0,0,0,64,4.03,0.178344776,0.18788289,0.190768997,0.131552018
8,1,0,1000-1059,3,2,36,142,United Air Lines Inc.,16527,55706,6234,1908862,8501631,0.000253804,0.000228985,25,San Francisco International,37.619,-122.375,Pittsburgh International,0,0,0,81,11.41,0.221460287,0.1712216,0.181217245,0.153846154
3,5,0,0600-0659,3,1,8,76,SkyWest Airlines Inc.,1545,68810,557,90611,3472966,3.42E-05,9.90E-05,13,Palm Springs International,33.827,-116.505,NONE,0,0,0,79,8.5,0.17960719,0.18788289,0.201711417,0.064816281
6,5,0,1100-1159,10,2,26,102,American Airlines Inc.,10606,76419,1179,1680928,11744595,9.82E-05,0.000177287,5,John F. Kennedy International,40.639,-73.777,Los Angeles International,0,0,0,93,5.59,0.282515139,0.247177203,0.222677771,0.190774512
10,3,0,1900-1959,5,6,24,120,United Air Lines Inc.,11962,54923,5010,1708599,8501631,0.000253804,0.000228985,21,Newark Liberty International,40.696,-74.172,Atlanta Municipal,0.01,0,0,68,9.62,0.156376273,0.158887996,0.15751081,0.225404157
2,2,0,1000-1059,4,1,35,173,United Air Lines Inc.,13272,43512,4621,1690031,8501631,0.000253804,0.000228985,10,Houston Intercontinental,29.983,-95.34,NONE,0,0,0,83,8.95,0.189495755,0.18788289,0.205745015,0.187484152
10,6,0,1500-1559,2,4,66,149,Delta Air Lines Inc.,33584,86312,21030,4365661,12460183,0.000144166,0.00014866,29,Atlanta Municipal,33.641,-84.427,Norfolk International,0,0,0,82,5.82,0.118414853,0.147000659,0.112162322,0.196905353
10,3,0,0700-0759,8,1,15,175,Southwest Airlines Co.,5353,115051,1100,800302,13382999,6.18E-05,9.89E-05,6,Portland International,45.589,-122.595,NONE,0,0,0,54,8.5,0.179322906,0.18788289,0.15751081,0.080396435
3,7,1,1400-1459,2,4,25,143,Southwest Airlines Co.,13625,114119,6207,1903352,13382999,6.18E-05,9.89E-05,11,McCarran International,36.08,-115.152,Salt Lake City International,0,0,0,73,4.47,0.204389222,0.147282375,0.191473364,0.210264144
8,3,0,1900-1959,9,5,11,173,United Air Lines Inc.,4293,55706,577,404265,8501631,0.000253804,0.000228985,11,Cleveland-Hopkins International,41.411,-81.849,San Francisco International,0.04,0,0,82,5.59,0.221460287,0.238865004,0.221672355,0.322358176
2,7,0,1100-1159,4,2,35,175,Southwest Airlines Co.,13281,94922,4462,1827202,13382999,6.18E-05,9.89E-05,7,Phoenix Sky Harbor International,33.436,-112.009,Metropolitan Oakland International,0.31,0,0,67,5.59,0.258887292,0.26458671,0.191045263,0.206875724
2,2,0,1500-1559,11,2,7,294,Hawaiian Airlines Inc.,1864,6020,1174,301832,905990,0.000120494,0.00019785,4,Kahului Airport,20.901,-156.434,Seattle International,0.16,0,0,81,8.72,0.147962592,0.238491049,0.205745015,0.261923216
3,5,1,1100-1159,4,4,45,76,American Eagle Airlines Inc.,27137,26361,5536,3103410,1204766,0.000348408,0.000106867,3,Chicago O'Hare International,41.978,-87.906,Truax Field,0,0.1,0,39,5.37,0.144887373,0.141975309,0.201711417,0.164644714
11,7,0,2000-2059,4,5,19,145,Spirit Air Lines,8495,17350,1818,1391212,2688839,9.17E-06,0.000124651,13,Fort Lauderdale-Hollywood International,26.074,-80.152,Harry S Truman,0.67,0,0,85,8.28,0.12395751,0.18788289,0.113885316,0.187377975
7,2,1,1000-1059,4,2,47,143,Southwest Airlines Co.,23471,117728,6440,2743323,13382999,6.18E-05,9.89E-05,18,Stapleton International,39.774,-104.88,Seattle International,0,0,0,90,8.28,0.215945077,0.17503364,0.202011935,0.143075561
12,3,0,1400-1459,1,6,6,123,Hawaiian Airlines Inc.,1318,7268,757,133573,905990,0.000120494,0.00019785,18,Lihue Airport,21.979,-159.346,Honolulu International,0,0,0,84,14.99,0.09193481,0.11302796,0.196265165,0.238460503
11,1,0,1700-1759,2,6,27,50,SkyWest Airlines Inc.,17358,66502,2686,2780593,3472966,3.42E-05,9.90E-05,16,Los Angeles International,33.942,-118.408,Fresno Air Terminal,0,0,0,75,5.14,0.136377483,0.18788289,0.152293329,0.182646234
6,4,0,1300-1359,7,2,51,181,American Airlines Inc.,28904,76419,5472,3103410,11744595,9.82E-05,0.000177287,5,Chicago O'Hare International,41.978,-87.906,Los Angeles International,0,0,0,75,6.93,0.282515139,0.247177203,0.251477227,0.232153165
8,5,0,1600-1659,2,3,8,154,United Air Lines Inc.,3463,55706,567,429725,8501631,0.000253804,0.000228985,3,Orange County,33.676,-117.867,Houston Intercontinental,0,0,0,79,6.26,0.221460287,0.206030629,0.211041372,0.26885759
5,3,1,2000-2059,3,3,52,187,American Airlines Inc.,28802,78894,5351,3103410,11744595,9.82E-05,0.000177287,7,Chicago O'Hare International,41.978,-87.906,Dallas Fort Worth Regional,0.07,0,0,75,6.49,0.257273013,0.286700337,0.180775199,0.294700277
10,4,0,2100-2159,2,8,1,143,Southwest Airlines Co.,1760,115051,733,178166,13382999,6.18E-05,9.89E-05,12,Reno/Tahoe International,39.498,-119.768,Metropolitan Oakland International,0,0,0,67,4.92,0.179322906,0.159528243,0.192619318,0.223513329
8,2,0,1000-1059,4,2,91,160,American Airlines Inc.,27148,80820,13678,2907365,11744595,9.82E-05,0.000177287,19,Dallas Fort Worth Regional,32.894,-97.03,Tucson International,0,0,0,100,6.49,0.228215169,0.122632104,0.218547944,0.153846154
2,7,0,1500-1559,5,3,9,175,Southwest Airlines Co.,4595,94922,1730,690385,13382999,6.18E-05,9.89E-05,3,Austin - Bergstrom International,30.194,-97.67,Los Angeles International,0.08,0,0,49,5.59,0.258887292,0.240315638,0.191045263,0.261923216
1,3,0,1700-1759,6,4,43,76,Mesa Airlines Inc.,5091,17869,1701,780326,1191889,0,9.13E-05,4,Washington Dulles International,38.942,-77.458,Standiford Field,0,0,0,45,4.92,0.165151216,0.172496025,0.180606958,0.229538826
6,2,0,2100-2159,2,4,39,124,United Air Lines Inc.,14546,53737,5090,1690031,8501631,0.000253804,0.000228985,20,Houston Intercontinental,29.983,-95.34,Orange County,0.01,0,0,91,12.08,0.265472582,0.178969957,0.232388147,0.390185696
3,3,0,0800-0859,6,1,32,180,Delta Air Lines Inc.,13764,84142,5572,1581456,12460183,0.000144166,0.00014866,2,Minneapolis-St Paul International,44.886,-93.218,NONE,0,0,0,58,7.38,0.124075271,0.18788289,0.151268815,0.108360544
11,5,0,1600-1659,1,3,28,76,SkyWest Airlines Inc.,13199,66502,3771,1486066,3472966,3.42E-05,9.90E-05,13,Detroit Metro Wayne County,42.217,-83.344,Albany International,0,0,0,39,7.61,0.136377483,0.18788289,0.153721967,0.176145672
10,7,0,1900-1959,4,4,88,199,Delta Air Lines Inc.,33584,86312,21030,4365661,12460183,0.000144166,0.00014866,21,Atlanta Municipal,33.641,-84.427,Harry S Truman,0.17,0,0,66,5.37,0.118414853,0.18788289,0.16537086,0.225404157
3,4,0,2000-2059,3,7,66,76,SkyWest Airlines Inc.,13492,68810,3176,1486066,3472966,3.42E-05,9.90E-05,11,Detroit Metro Wayne County,42.217,-83.344,Piedmont Triad International,0.01,0,0,68,13.2,0.17960719,0.146258503,0.179451845,0.231677466
1,7,0,1300-1359,5,2,10,128,American Airlines Inc.,4544,75506,657,564680,11744595,9.82E-05,0.000177287,20,Louis Armstrong New Orleans International,29.991,-90.251,Philadelphia International,0,0,0,51,12.3,0.160843514,0.123709677,0.178567369,0.195226978
3,2,0,1500-1559,1,4,11,175,Southwest Airlines Co.,5464,114119,1945,690385,13382999,6.18E-05,9.89E-05,1,Austin - Bergstrom International,30.194,-97.67,Phoenix Sky Harbor International,0,0,0,78,6.71,0.204389222,0.203750224,0.132868232,0.20203699
4,5,1,1500-1559,7,3,44,154,United Air Lines Inc.,18788,51763,5365,2743323,8501631,0.000253804,0.000228985,19,Stapleton International,39.774,-104.88,Newark Liberty International,0,0,0,70,9.62,0.183222896,0.240920842,0.232425733,0.222466456
4,5,0,1300-1359,11,2,19,181,American Airlines Inc.,4061,74131,215,719055,11744595,9.82E-05,0.000177287,5,Honolulu International,21.319,-157.922,Los Angeles International,0,0,0,66,9.84,0.204604288,0.165143603,0.232425733,0.197502949
9,3,0,1900-1959,3,5,54,154,United Air Lines Inc.,21760,51239,5989,2743323,8501631,0.000253804,0.000228985,20,Stapleton International,39.774,-104.88,Raleigh-Durham International,0,0,0,84,13.42,0.167618164,0.12932208,0.128298127,0.19799548
8,4,1,1500-1559,3,5,85,158,Delta Air Lines Inc.,35256,91062,21837,4365661,12460183,0.000144166,0.00014866,20,Atlanta Municipal,33.641,-84.427,Cleveland-Hopkins International,0.29,0,0,94,5.14,0.168586267,0.2,0.242021354,0.245737461
4,5,0,1100-1159,4,4,33,180,Delta Air Lines Inc.,17522,81803,2995,2780593,12460183,0.000144166,0.00014866,4,Los Angeles International,33.942,-118.408,Salt Lake City International,0,0,0,63,8.5,0.139557586,0.098221191,0.232425733,0.16652612
9,5,0,1200-1259,2,3,7,70,Comair Inc.,2004,23208,220,170270,1245396,0,9.00E-05,17,Standiford Field,38.18,-85.739,Ronald Reagan Washington National,0,0,0,91,7.83,0.151212553,0.125175271,0.165247052,0.127691963
11,7,0,0800-0859,6,2,1,172,Alaska Airlines Inc.,1267,20832,1129,222594,2884187,3.23E-05,0.000174601,17,Anchorage International,61.169,-149.985,Fairbanks International,0,0,7,38,8.72,0.137638764,0.18788289,0.113885316,0.094316995
10,4,1,1500-1559,3,5,19,100,JetBlue Airways,20449,24795,145,2006675,3190369,0.000160039,0.000126866,12,Douglas Municipal,35.219,-80.936,Logan International,0,0,0,67,5.59,0.198369062,0.186675181,0.192619318,0.196905353
12,4,0,1100-1159,6,3,12,143,Southwest Airlines Co.,9612,113248,733,1297685,13382999,6.18E-05,9.89E-05,15,Philadelphia International,39.868,-75.249,Lambert-St. Louis International,0,0,0,29,12.3,0.264038108,0.2392296,0.181617633,0.193888393
